57 timesteps needed to evacuate a building with 1 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1165 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 320 tenants (or 1600 ppl) per floor total
1167 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 321 tenants (or 1605 ppl) per floor total
1168 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 322 tenants (or 1610 ppl) per floor total
1169 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 323 tenants (or 1615 ppl) per floor total
1171 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 324 tenants (or 1620 ppl) per floor total
1172 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 325 tenants (or 1625 ppl) per floor total
1173 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 326 tenants (or 1630 ppl) per floor total
1175 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 327 tenants (or 1635 ppl) per floor total
1175 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 328 tenants (or 1640 ppl) per floor total
1176 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 329 tenants (or 1645 ppl) per floor total
1178 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 330 tenants (or 1650 ppl) per floor total
1179 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 331 tenants (or 1655 ppl) per floor total
1180 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 332 tenants (or 1660 ppl) per floor total
1182 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 333 tenants (or 1665 ppl) per floor total
1183 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 334 tenants (or 1670 ppl) per floor total
1184 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 335 tenants (or 1675 ppl) per floor total
1186 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 336 tenants (or 1680 ppl) per floor total
1187 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 337 tenants (or 1685 ppl) per floor total
1188 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 338 tenants (or 1690 ppl) per floor total
1190 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 339 tenants (or 1695 ppl) per floor total
1191 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 340 tenants (or 1700 ppl) per floor total
1192 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 341 tenants (or 1705 ppl) per floor total
1194 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 342 tenants (or 1710 ppl) per floor total
1195 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 343 tenants (or 1715 ppl) per floor total
1196 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 344 tenants (or 1720 ppl) per floor total
1198 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 345 tenants (or 1725 ppl) per floor total
1199 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 346 tenants (or 1730 ppl) per floor total
1200 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 347 tenants (or 1735 ppl) per floor total
1202 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 348 tenants (or 1740 ppl) per floor total
1203 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 349 tenants (or 1745 ppl) per floor total
1203 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 350 tenants (or 1750 ppl) per floor total
1205 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 351 tenants (or 1755 ppl) per floor total
1206 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 352 tenants (or 1760 ppl) per floor total
1207 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 353 tenants (or 1765 ppl) per floor total
1209 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 354 tenants (or 1770 ppl) per floor total
1210 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 355 tenants (or 1775 ppl) per floor total
1211 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 356 tenants (or 1780 ppl) per floor total
1213 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 357 tenants (or 1785 ppl) per floor total
1214 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 358 tenants (or 1790 ppl) per floor total
1215 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 359 tenants (or 1795 ppl) per floor total
1217 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 360 tenants (or 1800 ppl) per floor total
1218 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 361 tenants (or 1805 ppl) per floor total
1219 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 362 tenants (or 1810 ppl) per floor total
1221 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 363 tenants (or 1815 ppl) per floor total
1222 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 364 tenants (or 1820 ppl) per floor total
1223 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 365 tenants (or 1825 ppl) per floor total
1225 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 366 tenants (or 1830 ppl) per floor total
1226 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 367 tenants (or 1835 ppl) per floor total
1227 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 368 tenants (or 1840 ppl) per floor total
1229 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 369 tenants (or 1845 ppl) per floor total
1230 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 370 tenants (or 1850 ppl) per floor total
1231 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 371 tenants (or 1855 ppl) per floor total
1233 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 372 tenants (or 1860 ppl) per floor total
1234 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 373 tenants (or 1865 ppl) per floor total
1235 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 374 tenants (or 1870 ppl) per floor total
1237 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 375 tenants (or 1875 ppl) per floor total
1238 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 376 tenants (or 1880 ppl) per floor total
1239 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 377 tenants (or 1885 ppl) per floor total
1241 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 378 tenants (or 1890 ppl) per floor total
1242 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 379 tenants (or 1895 ppl) per floor total
1243 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 380 tenants (or 1900 ppl) per floor total
1245 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 381 tenants (or 1905 ppl) per floor total
1246 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 382 tenants (or 1910 ppl) per floor total
1247 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 383 tenants (or 1915 ppl) per floor total
1249 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 384 tenants (or 1920 ppl) per floor total
1250 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 385 tenants (or 1925 ppl) per floor total
1251 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 386 tenants (or 1930 ppl) per floor total
1253 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 387 tenants (or 1935 ppl) per floor total
1254 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 388 tenants (or 1940 ppl) per floor total
1255 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 389 tenants (or 1945 ppl) per floor total
1257 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 390 tenants (or 1950 ppl) per floor total
1258 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 391 tenants (or 1955 ppl) per floor total
1259 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 392 tenants (or 1960 ppl) per floor total
1261 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 393 tenants (or 1965 ppl) per floor total
1262 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 394 tenants (or 1970 ppl) per floor total
1263 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 395 tenants (or 1975 ppl) per floor total
1265 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 396 tenants (or 1980 ppl) per floor total
1266 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 397 tenants (or 1985 ppl) per floor total
1267 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 398 tenants (or 1990 ppl) per floor total
1269 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 399 tenants (or 1995 ppl) per floor total
1270 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 400 tenants (or 2000 ppl) per floor total
1271 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 401 tenants (or 2005 ppl) per floor total
1273 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 402 tenants (or 2010 ppl) per floor total
1274 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 403 tenants (or 2015 ppl) per floor total
1275 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 404 tenants (or 2020 ppl) per floor total
1277 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 405 tenants (or 2025 ppl) per floor total
1278 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 406 tenants (or 2030 ppl) per floor total
1279 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 407 tenants (or 2035 ppl) per floor total
1281 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 408 tenants (or 2040 ppl) per floor total
1282 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 409 tenants (or 2045 ppl) per floor total
1283 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 410 tenants (or 2050 ppl) per floor total
1285 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 411 tenants (or 2055 ppl) per floor total
1286 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 412 tenants (or 2060 ppl) per floor total
1287 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 413 tenants (or 2065 ppl) per floor total
1289 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 414 tenants (or 2070 ppl) per floor total
1290 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 415 tenants (or 2075 ppl) per floor total
1291 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 416 tenants (or 2080 ppl) per floor total
1293 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 417 tenants (or 2085 ppl) per floor total
1294 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 418 tenants (or 2090 ppl) per floor total
1295 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 419 tenants (or 2095 ppl) per floor total
1297 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 420 tenants (or 2100 ppl) per floor total
1298 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 421 tenants (or 2105 ppl) per floor total
1299 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 422 tenants (or 2110 ppl) per floor total
1301 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 423 tenants (or 2115 ppl) per floor total
1302 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 424 tenants (or 2120 ppl) per floor total
1303 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 425 tenants (or 2125 ppl) per floor total
1305 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 426 tenants (or 2130 ppl) per floor total
1306 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 427 tenants (or 2135 ppl) per floor total
1307 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 428 tenants (or 2140 ppl) per floor total
1309 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 429 tenants (or 2145 ppl) per floor total
1310 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 430 tenants (or 2150 ppl) per floor total
1311 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 431 tenants (or 2155 ppl) per floor total
1313 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 432 tenants (or 2160 ppl) per floor total
1314 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 433 tenants (or 2165 ppl) per floor total
1315 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 434 tenants (or 2170 ppl) per floor total
1317 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 435 tenants (or 2175 ppl) per floor total
1318 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 436 tenants (or 2180 ppl) per floor total
1319 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 437 tenants (or 2185 ppl) per floor total
1321 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 438 tenants (or 2190 ppl) per floor total
1322 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 439 tenants (or 2195 ppl) per floor total
1323 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 440 tenants (or 2200 ppl) per floor total
1325 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 441 tenants (or 2205 ppl) per floor total
1326 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 442 tenants (or 2210 ppl) per floor total
1327 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 443 tenants (or 2215 ppl) per floor total
1329 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 444 tenants (or 2220 ppl) per floor total
1330 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 445 tenants (or 2225 ppl) per floor total
1331 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 446 tenants (or 2230 ppl) per floor total
1333 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 447 tenants (or 2235 ppl) per floor total
1334 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 448 tenants (or 2240 ppl) per floor total
1335 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 449 tenants (or 2245 ppl) per floor total
1337 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 450 tenants (or 2250 ppl) per floor total
1338 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 451 tenants (or 2255 ppl) per floor total
1339 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 452 tenants (or 2260 ppl) per floor total
1341 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 453 tenants (or 2265 ppl) per floor total
1342 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 454 tenants (or 2270 ppl) per floor total
1343 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 455 tenants (or 2275 ppl) per floor total
1345 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 456 tenants (or 2280 ppl) per floor total
1346 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 457 tenants (or 2285 ppl) per floor total
1347 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 458 tenants (or 2290 ppl) per floor total
1349 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 459 tenants (or 2295 ppl) per floor total
1350 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 460 tenants (or 2300 ppl) per floor total
1351 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 461 tenants (or 2305 ppl) per floor total
1353 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 462 tenants (or 2310 ppl) per floor total
1354 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 463 tenants (or 2315 ppl) per floor total
1355 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 464 tenants (or 2320 ppl) per floor total
1357 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 465 tenants (or 2325 ppl) per floor total
1358 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 466 tenants (or 2330 ppl) per floor total
1359 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 467 tenants (or 2335 ppl) per floor total
1361 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 468 tenants (or 2340 ppl) per floor total
1362 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 469 tenants (or 2345 ppl) per floor total
1363 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 470 tenants (or 2350 ppl) per floor total
1365 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 471 tenants (or 2355 ppl) per floor total
1366 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 472 tenants (or 2360 ppl) per floor total
1367 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 473 tenants (or 2365 ppl) per floor total
1369 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 474 tenants (or 2370 ppl) per floor total
1370 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 475 tenants (or 2375 ppl) per floor total
1371 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 476 tenants (or 2380 ppl) per floor total
1373 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 477 tenants (or 2385 ppl) per floor total
1374 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 478 tenants (or 2390 ppl) per floor total
1375 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 479 tenants (or 2395 ppl) per floor total
1377 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 480 tenants (or 2400 ppl) per floor total
1378 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 481 tenants (or 2405 ppl) per floor total
1379 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 482 tenants (or 2410 ppl) per floor total
1380 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 483 tenants (or 2415 ppl) per floor total
1381 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 484 tenants (or 2420 ppl) per floor total
1382 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 485 tenants (or 2425 ppl) per floor total
1384 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 486 tenants (or 2430 ppl) per floor total
1385 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 487 tenants (or 2435 ppl) per floor total
1386 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 488 tenants (or 2440 ppl) per floor total
1388 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 489 tenants (or 2445 ppl) per floor total
1389 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 490 tenants (or 2450 ppl) per floor total
1390 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 491 tenants (or 2455 ppl) per floor total
1392 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 492 tenants (or 2460 ppl) per floor total
1393 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 493 tenants (or 2465 ppl) per floor total
1394 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 494 tenants (or 2470 ppl) per floor total
1396 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 495 tenants (or 2475 ppl) per floor total
1397 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 496 tenants (or 2480 ppl) per floor total
1398 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 497 tenants (or 2485 ppl) per floor total
1400 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 498 tenants (or 2490 ppl) per floor total
1401 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 499 tenants (or 2495 ppl) per floor total
1402 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 500 tenants (or 2500 ppl) per floor total
1404 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 501 tenants (or 2505 ppl) per floor total
1405 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 502 tenants (or 2510 ppl) per floor total
1406 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 503 tenants (or 2515 ppl) per floor total
1408 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 504 tenants (or 2520 ppl) per floor total
1409 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 505 tenants (or 2525 ppl) per floor total
1410 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 506 tenants (or 2530 ppl) per floor total
1412 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 507 tenants (or 2535 ppl) per floor total
1413 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 508 tenants (or 2540 ppl) per floor total
1414 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 509 tenants (or 2545 ppl) per floor total
1416 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 510 tenants (or 2550 ppl) per floor total
1417 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 511 tenants (or 2555 ppl) per floor total
1418 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 512 tenants (or 2560 ppl) per floor total
1420 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 513 tenants (or 2565 ppl) per floor total
1421 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 514 tenants (or 2570 ppl) per floor total
1422 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 515 tenants (or 2575 ppl) per floor total
1424 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 516 tenants (or 2580 ppl) per floor total
1425 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 517 tenants (or 2585 ppl) per floor total
1426 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 518 tenants (or 2590 ppl) per floor total
1428 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 519 tenants (or 2595 ppl) per floor total
1429 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 520 tenants (or 2600 ppl) per floor total
1430 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 521 tenants (or 2605 ppl) per floor total
1432 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 522 tenants (or 2610 ppl) per floor total
1433 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 523 tenants (or 2615 ppl) per floor total
1434 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 524 tenants (or 2620 ppl) per floor total
1436 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 525 tenants (or 2625 ppl) per floor total
1437 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 526 tenants (or 2630 ppl) per floor total
1438 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 527 tenants (or 2635 ppl) per floor total
1440 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 528 tenants (or 2640 ppl) per floor total
1441 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 529 tenants (or 2645 ppl) per floor total
1442 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 530 tenants (or 2650 ppl) per floor total
1444 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 531 tenants (or 2655 ppl) per floor total
1445 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 532 tenants (or 2660 ppl) per floor total
1446 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 533 tenants (or 2665 ppl) per floor total
1448 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 534 tenants (or 2670 ppl) per floor total
1449 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 535 tenants (or 2675 ppl) per floor total
1450 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 536 tenants (or 2680 ppl) per floor total
1452 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 537 tenants (or 2685 ppl) per floor total
1453 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 538 tenants (or 2690 ppl) per floor total
1454 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 539 tenants (or 2695 ppl) per floor total
1456 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 540 tenants (or 2700 ppl) per floor total
1457 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 541 tenants (or 2705 ppl) per floor total
1458 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 542 tenants (or 2710 ppl) per floor total
1460 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 543 tenants (or 2715 ppl) per floor total
1461 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 544 tenants (or 2720 ppl) per floor total
1462 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 545 tenants (or 2725 ppl) per floor total
1464 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 546 tenants (or 2730 ppl) per floor total
1465 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 547 tenants (or 2735 ppl) per floor total
